Numero_Vente,Identifiant_Client,Identifiant_Produit,Quantité
726bb25d-5930-4162-9436-4ac8f9d295ca,994,63,8
4c949412-9157-4388-9bab-eff43eaabbaf,397,419,9
9d9efd41-c1f8-4edf-b684-f7ebb27903c9,155,389,8
197e6b5f-f487-411b-8d21-1cde5c1a18e4,195,451,9
767ef350-888e-48e5-b623-3b85eb4d159f,411,270,5
6469c2b2-b4a8-4f53-bb6e-f53cf6ec593a,382,272,7
71dcc30d-d08f-4652-9ad1-47a8fcf557ba,503,157,9
74896d65-e07a-4d90-8f85-4580e4a8ac04,58,249,5
98ee3511-48de-4630-9aa0-20ff06907d34,82,72,4
a8b05697-38c0-4330-b9d6-ce77355ba6d3,378,375,2
d0827a3a-7840-4da4-97c0-a81ce85a66cb,540,372,2
b5522e4a-c5f2-4932-9e61-63d4b6860652,870,98,5
dec8d938-26a3-4246-8f26-a9f8bdd89be9,364,369,2
157f6cf8-ed4e-4ae8-98d9-9876f8d658f6,467,396,3
65355afc-750a-4651-a562-a6e757cf9717,36,485,9
92c2f69d-0e4a-4c92-b581-e8e257f59773,111,306,1
67114d5c-ba41-490b-b347-dbba0824641d,701,337,4
06541b42-99d0-44ed-a775-c76c4c9c1092,501,41,1
0e5c1fd4-b6aa-4103-a0e6-55683bf1975b,241,193,6
f6873c64-d494-4c09-ad17-26428e102ed7,822,263,4
a4dc5d10-10eb-4607-b750-1840240d9c94,188,139,6
82c33223-d68a-46ae-a93d-5f24e95ec7c8,16,341,3
85112571-068f-4a65-86a1-b969cbfdd6aa,337,329,6
54332548-c8ba-4e12-b3e7-a61891bf4570,845,61,6
698d42db-9f35-4970-bad8-f78952b64353,816,167,9
2d9b1d7b-4839-4da4-a82e-f2ee45cd996b,211,64,7
caa74beb-f45a-45b8-9fd8-ba47e44c4871,573,301,1
fb0c3341-199f-4472-82b1-626dc2cd638e,564,405,9
8d0146cb-5608-414c-ace7-4b5fba275e10,788,327,8
ddeee444-c36f-4754-a514-ad47771fcf7e,416,28,2
c1453d78-1050-4243-b144-91c4cb73cbc5,279,193,6
d9015ae2-8954-43a6-877e-766aad7df011,550,122,1
95a39bff-c7a6-4b6f-90d9-5a8719ac5394,413,331,2
e8f89f7a-1d2a-48ce-a466-4bc664aca19e,776,224,9
d3c8cd5c-adde-41ff-8142-bee809618195,239,405,7
bda72dd8-623c-4289-bbd3-ad0920e2dd03,268,487,8
e39f1a86-b1b8-4f6c-8c1c-146a0ac4cbae,948,48,9
68134b4d-98e4-4e29-ae4d-b60cf0288342,512,270,9
618bcab1-48f3-41b9-ac92-4e43e6359210,85,235,9
3dd7832f-397d-4cd8-8fd3-255dd927d7d2,757,119,9
3953dce6-5f5f-4dc9-9603-1582f8d3acf2,889,451,6
2c9bbdf4-952e-401e-87f4-ec631d3b84f4,780,316,3
05872c88-ce66-4fbb-882c-57bfc1668274,310,342,5
ccc01612-e962-4dba-a364-0836759c73b2,75,54,8
a7def30c-e708-4780-889f-7125c2245216,194,105,5
d5f11f05-d03d-4153-9376-e92faa3f8859,859,494,6
bce6c955-14e8-41b7-aabf-8cc4e2501162,550,155,9
b6e0e707-ae99-4507-9c8a-a5d8ddd78706,266,410,1
fcf6310d-39a5-4a2f-8f91-0edae7c492d6,566,314,9
77ff68ea-1dca-414f-8d7c-1389216dc5fa,694,167,9
7642765a-980b-4982-90ad-ce0100b5ef64,112,390,3
b552ba2c-1037-43c4-980c-d308defdae06,593,306,8
0e48f733-0df2-4180-814d-ed705bc4bce0,416,141,1
7a833796-f8a4-4bb3-a93e-e232d3dfaee1,576,318,2
